Label (Grouping),        No vehicle available
Census Tract 1011.10; Los Angeles County; California!!Total!!Estimate,4.80%
Census Tract 1011.10; Los Angeles County; California!!Total!!Margin of Error,±4.4
Census Tract 1011.10; Los Angeles County; California!!Male!!Estimate,5.80%
Census Tract 1011.10; Los Angeles County; California!!Male!!Margin of Error,±6.5
Census Tract 1011.10; Los Angeles County; California!!Female!!Estimate,3.80%
Census Tract 1011.10; Los Angeles County; California!!Female!!Margin of Error,±3.2
Census Tract 1011.22; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1011.22; Los Angeles County; California!!Total!!Margin of Error,±2.1
Census Tract 1011.22; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1011.22; Los Angeles County; California!!Male!!Margin of Error,±3.6
Census Tract 1011.22; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1011.22; Los Angeles County; California!!Female!!Margin of Error,±4.9
Census Tract 1012.20; Los Angeles County; California!!Total!!Estimate,0.00%
Census Tract 1012.20; Los Angeles County; California!!Total!!Margin of Error,±2.6
Census Tract 1012.20; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1012.20; Los Angeles County; California!!Male!!Margin of Error,±5.3
Census Tract 1012.20; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1012.20; Los Angeles County; California!!Female!!Margin of Error,±4.9
Census Tract 1012.21; Los Angeles County; California!!Total!!Estimate,5.70%
Census Tract 1012.21; Los Angeles County; California!!Total!!Margin of Error,±5.2
Census Tract 1012.21; Los Angeles County; California!!Male!!Estimate,2.90%
Census Tract 1012.21; Los Angeles County; California!!Male!!Margin of Error,±4.3
Census Tract 1012.21; Los Angeles County; California!!Female!!Estimate,8.60%
Census Tract 1012.21; Los Angeles County; California!!Female!!Margin of Error,±7.2
Census Tract 1012.22; Los Angeles County; California!!Total!!Estimate,3.30%
Census Tract 1012.22; Los Angeles County; California!!Total!!Margin of Error,±3.8
Census Tract 1012.22; Los Angeles County; California!!Male!!Estimate,2.70%
Census Tract 1012.22; Los Angeles County; California!!Male!!Margin of Error,±4.5
Census Tract 1012.22; Los Angeles County; California!!Female!!Estimate,3.90%
Census Tract 1012.22; Los Angeles County; California!!Female!!Margin of Error,±5.2
Census Tract 1013; Los Angeles County; California!!Total!!Estimate,1.80%
Census Tract 1013; Los Angeles County; California!!Total!!Margin of Error,±1.7
Census Tract 1013; Los Angeles County; California!!Male!!Estimate,2.50%
Census Tract 1013; Los Angeles County; California!!Male!!Margin of Error,±2.2
Census Tract 1013; Los Angeles County; California!!Female!!Estimate,1.10%
Census Tract 1013; Los Angeles County; California!!Female!!Margin of Error,±1.7
Census Tract 1014; Los Angeles County; California!!Total!!Estimate,0.80%
Census Tract 1014; Los Angeles County; California!!Total!!Margin of Error,±1.2
Census Tract 1014; Los Angeles County; California!!Male!!Estimate,1.40%
Census Tract 1014; Los Angeles County; California!!Male!!Margin of Error,±2.4
Census Tract 1014; Los Angeles County; California!!Female!!Estimate,0.00%
Census Tract 1014; Los Angeles County; California!!Female!!Margin of Error,±5.2
Census Tract 1021.03; Los Angeles County; California!!Total!!Estimate,6.80%
Census Tract 1021.03; Los Angeles County; California!!Total!!Margin of Error,±8.3
Census Tract 1021.03; Los Angeles County; California!!Male!!Estimate,9.60%
Census Tract 1021.03; Los Angeles County; California!!Male!!Margin of Error,±14.5
Census Tract 1021.03; Los Angeles County; California!!Female!!Estimate,3.40%
Census Tract 1021.03; Los Angeles County; California!!Female!!Margin of Error,±5.0
Census Tract 1021.04; Los Angeles County; California!!Total!!Estimate,0.70%
Census Tract 1021.04; Los Angeles County; California!!Total!!Margin of Error,±1.0
Census Tract 1021.04; Los Angeles County; California!!Male!!Estimate,0.00%
Census Tract 1021.04; Los Angeles County; California!!Male!!Margin of Error,±4.5
Census Tract 1021.04; Los Angeles County; California!!Female!!Estimate,1.50%
Census Tract 1021.04; Los Angeles County; California!!Female!!Margin of Error,±2.2
